Point,Output,Nominal,Pass/Fail
136,BLB_Vdd,-137.5e-3,
136,Pass,1,
"Parameters: Vdd_col=650m, BLB_Vdd=-125m",,,
137,Vdd_col,650e-3,
137,BLB_Vdd,-125e-3,
137,Pass,1,
"Parameters: Vdd_col=650m, BLB_Vdd=-112.5m",,,
138,Vdd_col,650e-3,
138,BLB_Vdd,-112.5e-3,
138,Pass,1,
"Parameters: Vdd_col=650m, BLB_Vdd=-100m",,,
139,Vdd_col,650e-3,
139,BLB_Vdd,-100e-3,
139,Pass,1,
"Parameters: Vdd_col=650m, BLB_Vdd=-87.5m",,,
140,Vdd_col,650e-3,
140,BLB_Vdd,-87.5e-3,
140,Pass,1,
"Parameters: Vdd_col=650m, BLB_Vdd=-75m",,,
141,Vdd_col,650e-3,
141,BLB_Vdd,-75e-3,
141,Pass,1,
"Parameters: Vdd_col=650m, BLB_Vdd=-62.5m",,,
142,Vdd_col,650e-3,
142,BLB_Vdd,-62.5e-3,
142,Pass,1,
"Parameters: Vdd_col=650m, BLB_Vdd=-50m",,,
143,Vdd_col,650e-3,
143,BLB_Vdd,-50e-3,
143,Pass,1,
"Parameters: Vdd_col=650m, BLB_Vdd=-37.5m",,,
144,Vdd_col,650e-3,
144,BLB_Vdd,-37.5e-3,
144,Pass,1,
"Parameters: Vdd_col=650m, BLB_Vdd=-25m",,,
145,Vdd_col,650e-3,
145,BLB_Vdd,-25e-3,
145,Pass,1,
"Parameters: Vdd_col=650m, BLB_Vdd=-12.5m",,,
146,Vdd_col,650e-3,
146,BLB_Vdd,-12.5e-3,
146,Pass,1,
"Parameters: Vdd_col=650m, BLB_Vdd=79.8a",,,
147,Vdd_col,650e-3,
147,BLB_Vdd,79.8e-18,
147,Pass,1,
"Parameters: Vdd_col=675m, BLB_Vdd=-250m",,,
148,Vdd_col,675e-3,
148,BLB_Vdd,-250e-3,
148,Pass,1,
"Parameters: Vdd_col=675m, BLB_Vdd=-237.5m",,,
149,Vdd_col,675e-3,
149,BLB_Vdd,-237.5e-3,
149,Pass,1,
"Parameters: Vdd_col=675m, BLB_Vdd=-225m",,,
150,Vdd_col,675e-3,
150,BLB_Vdd,-225e-3,
150,Pass,1,
"Parameters: Vdd_col=675m, BLB_Vdd=-212.5m",,,
151,Vdd_col,675e-3,
151,BLB_Vdd,-212.5e-3,
151,Pass,1,
