Point,Output,Nominal,Pass/Fail
213,Pass,0,
"Parameters: PW=11p, Vdd_main=965m",,,
214,Vdd_col,965e-3,
214,PW,11e-12,
214,Pass,0,
"Parameters: PW=11p, Vdd_main=970m",,,
215,Vdd_col,970e-3,
215,PW,11e-12,
215,Pass,0,
"Parameters: PW=11p, Vdd_main=975m",,,
216,Vdd_col,975e-3,
216,PW,11e-12,
216,Pass,0,
"Parameters: PW=11p, Vdd_main=980m",,,
217,Vdd_col,980e-3,
217,PW,11e-12,
217,Pass,0,
"Parameters: PW=11p, Vdd_main=985m",,,
218,Vdd_col,985e-3,
218,PW,11e-12,
218,Pass,0,
"Parameters: PW=11p, Vdd_main=990m",,,
219,Vdd_col,990e-3,
219,PW,11e-12,
219,Pass,0,
"Parameters: PW=11p, Vdd_main=995m",,,
220,Vdd_col,995e-3,
220,PW,11e-12,
220,Pass,0,
"Parameters: PW=11p, Vdd_main=1",,,
221,Vdd_col,1,
221,PW,11e-12,
221,Pass,0,
"Parameters: PW=11p, Vdd_main=1.005",,,
222,Vdd_col,1.005,
222,PW,11e-12,
222,Pass,0,
"Parameters: PW=11p, Vdd_main=1.01",,,
223,Vdd_col,1.01,
223,PW,11e-12,
223,Pass,0,
"Parameters: PW=11p, Vdd_main=1.015",,,
224,Vdd_col,1.015,
224,PW,11e-12,
224,Pass,0,
"Parameters: PW=11p, Vdd_main=1.02",,,
225,Vdd_col,1.02,
225,PW,11e-12,
225,Pass,0,
"Parameters: PW=11p, Vdd_main=1.025",,,
226,Vdd_col,1.025,
226,PW,11e-12,
226,Pass,0,
"Parameters: PW=11p, Vdd_main=1.03",,,
227,Vdd_col,1.03,
227,PW,11e-12,
227,Pass,0,
"Parameters: PW=11p, Vdd_main=1.035",,,
228,Vdd_col,1.035,
228,PW,11e-12,
228,Pass,0,
"Parameters: PW=11p, Vdd_main=1.04",,,
229,Vdd_col,1.04,
229,PW,11e-12,
229,Pass,0,
"Parameters: PW=11p, Vdd_main=1.045",,,
230,Vdd_col,1.045,
230,PW,11e-12,
230,Pass,1,
"Parameters: PW=11p, Vdd_main=1.05",,,
231,Vdd_col,1.05,
231,PW,11e-12,
231,Pass,1,
"Parameters: PW=12p, Vdd_main=950m",,,
232,Vdd_col,950e-3,
232,PW,12e-12,
232,Pass,0,
