Point,Output,Nominal,Pass/Fail
176,BLB_Vdd,-162.5e-3,
176,PW,9e-12,
176,Pass,1,
"Parameters: PW=9p, BLB_Vdd=-150m",,,
177,BLB_Vdd,-150e-3,
177,PW,9e-12,
177,Pass,1,
"Parameters: PW=9p, BLB_Vdd=-137.5m",,,
178,BLB_Vdd,-137.5e-3,
178,PW,9e-12,
178,Pass,1,
"Parameters: PW=9p, BLB_Vdd=-125m",,,
179,BLB_Vdd,-125e-3,
179,PW,9e-12,
179,Pass,1,
"Parameters: PW=9p, BLB_Vdd=-112.5m",,,
180,BLB_Vdd,-112.5e-3,
180,PW,9e-12,
180,Pass,1,
"Parameters: PW=9p, BLB_Vdd=-100m",,,
181,BLB_Vdd,-100e-3,
181,PW,9e-12,
181,Pass,1,
"Parameters: PW=9p, BLB_Vdd=-87.5m",,,
182,BLB_Vdd,-87.5e-3,
182,PW,9e-12,
182,Pass,1,
"Parameters: PW=9p, BLB_Vdd=-75m",,,
183,BLB_Vdd,-75e-3,
183,PW,9e-12,
183,Pass,1,
"Parameters: PW=9p, BLB_Vdd=-62.5m",,,
184,BLB_Vdd,-62.5e-3,
184,PW,9e-12,
184,Pass,1,
"Parameters: PW=9p, BLB_Vdd=-50m",,,
185,BLB_Vdd,-50e-3,
185,PW,9e-12,
185,Pass,0,
"Parameters: PW=9p, BLB_Vdd=-37.5m",,,
186,BLB_Vdd,-37.5e-3,
186,PW,9e-12,
186,Pass,0,
"Parameters: PW=9p, BLB_Vdd=-25m",,,
187,BLB_Vdd,-25e-3,
187,PW,9e-12,
187,Pass,0,
"Parameters: PW=9p, BLB_Vdd=-12.5m",,,
188,BLB_Vdd,-12.5e-3,
188,PW,9e-12,
188,Pass,0,
"Parameters: PW=9p, BLB_Vdd=79.8a",,,
189,BLB_Vdd,79.8e-18,
189,PW,9e-12,
189,Pass,0,
"Parameters: PW=10p, BLB_Vdd=-250m",,,
190,BLB_Vdd,-250e-3,
190,PW,10e-12,
190,Pass,1,
"Parameters: PW=10p, BLB_Vdd=-237.5m",,,
191,BLB_Vdd,-237.5e-3,
191,PW,10e-12,
191,Pass,1,
"Parameters: PW=10p, BLB_Vdd=-225m",,,
