Point,Output,Nominal,Pass/Fail
"Parameters: PW=11p, Vdd_col=700m",,,
219,Vdd_col,700e-3,
219,PW,11e-12,
219,Pass,1,
"Parameters: PW=11p, Vdd_col=725m",,,
220,Vdd_col,725e-3,
220,PW,11e-12,
220,Pass,1,
"Parameters: PW=11p, Vdd_col=750m",,,
221,Vdd_col,750e-3,
221,PW,11e-12,
221,Pass,1,
"Parameters: PW=11p, Vdd_col=775m",,,
222,Vdd_col,775e-3,
222,PW,11e-12,
222,Pass,1,
"Parameters: PW=11p, Vdd_col=800m",,,
223,Vdd_col,800e-3,
223,PW,11e-12,
223,Pass,1,
"Parameters: PW=11p, Vdd_col=825m",,,
224,Vdd_col,825e-3,
224,PW,11e-12,
224,Pass,1,
"Parameters: PW=11p, Vdd_col=850m",,,
225,Vdd_col,850e-3,
225,PW,11e-12,
225,Pass,1,
"Parameters: PW=11p, Vdd_col=875m",,,
226,Vdd_col,875e-3,
226,PW,11e-12,
226,Pass,1,
"Parameters: PW=11p, Vdd_col=900m",,,
227,Vdd_col,900e-3,
227,PW,11e-12,
227,Pass,1,
"Parameters: PW=11p, Vdd_col=925m",,,
228,Vdd_col,925e-3,
228,PW,11e-12,
228,Pass,1,
"Parameters: PW=11p, Vdd_col=950m",,,
229,Vdd_col,950e-3,
229,PW,11e-12,
229,Pass,1,
"Parameters: PW=11p, Vdd_col=975m",,,
230,Vdd_col,975e-3,
230,PW,11e-12,
230,Pass,0,
"Parameters: PW=11p, Vdd_col=1",,,
231,Vdd_col,1,
231,PW,11e-12,
231,Pass,0,
"Parameters: PW=12p, Vdd_col=500m",,,
232,Vdd_col,500e-3,
232,PW,12e-12,
232,Pass,1,
